Species Name,C,O,N,S,MolWeight,Henry,"log10VpSIMPOL, 298K","log10VpSIMPOL, 400K",log10Vp_MC298K,log10Vp_MC400K,alkyl OH,aromatic OH,aldehyde,ketone,acid,ROOH,per acid,ester,alkyl ether,alicyclic ether,aromatic ether,peroxide,nitrate,nitro
CYHXONANO3,6,4,1,0,159.141,7246.376812,-4.554799698,-2.237456301,-4.338096233,-1.391955653,0,0,0,1,0,0,0,0,1,0,0,0,1,0
DNPBNZOL,9,5,2,0,226.188,18621.97393,-8.985314396,-4.820075771,-4.691217997,-1.646525992,0,1,0,0,0,0,0,0,0,0,0,0,0,2
C4COMOH3O,6,3,0,0,131.151,1512.859304,-3.82514944,-1.290259919,-4.116130757,-1.237821195,1,0,0,1,0,0,0,0,0,0,0,0,0,0
ACCOCOMOOH,5,6,0,0,162.097,10741138.56,-3.657507924,-1.165529201,-7.594943219,-3.051375347,0,0,0,1,0,1,0,0,0,0,0,0,0,0
MXYOLOH,8,5,0,0,188.179,10010010.01,-8.649615979,-5.27946189,-6.803284153,-2.680826293,3,0,0,0,0,0,0,0,0,0,0,1,0,0
TM123OHNO2,9,3,1,0,181.191,106.3829787,-6.873945428,-3.444788092,-4.744720772,-1.626356127,0,1,0,0,0,0,0,0,0,0,0,0,0,1
NPXYOL1O,8,3,1,0,166.156,117.370892,-4.333823175,-1.40690059,-4.351022906,-1.407737701,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OXYFUOOH,6,5,0,0,162.141,230414746.5,-6.533336578,-3.145991512,-6.387161089,-2.437504908,1,0,0,0,0,1,0,1,0,0,0,0,0,0
H1C23C4OOH,4,5,0,0,134.087,49504950.5,-6.35280054,-3.205789161,-6.195323602,-2.299424475,1,0,0,2,0,1,0,0,0,0,0,0,0,0
H3C2C4CO3,5,5,0,0,147.106,5181347.15,-4.582706397,-1.984282301,-6.250889537,-2.347456635,1,0,0,1,0,0,0,1,0,0,0,0,0,0
MTBE,5,1,0,0,88.15,0.495049505,-0.985858709,0.820684369,-2.001148134,-0.077912556,0,0,0,0,0,0,0,0,1,0,0,0,0,0
OXNCATECO2,8,9,1,0,264.166,2.02E+13,-11.46615908,-7.153974495,-8.871652247,-3.8046283,3,0,0,0,0,0,0,0,1,0,0,1,0,1
C511CO3H,6,5,0,0,160.125,877192982.5,-5.390575169,-2.529037099,-6.381727384,-2.432071203,0,0,1,1,0,0,1,0,0,0,0,0,0,0
MTBK,6,1,0,0,100.161,8.620689655,-1.641732111,0.084859762,-2.467629231,-0.342306946,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ACLOOA,3,3,0,0,90.078,NaN,-2.551391067,-0.435396039,-3.387677886,-0.787320372,1,0,0,1,0,0,0,0,0,0,0,0,0,0
NBUACETAO,6,3,0,0,131.151,66666.66667,-1.887413781,0.055977659,-4.116130757,-1.237821195,0,0,0,0,0,0,0,1,0,0,0,0,0,0
INANCHO,5,8,2,0,224.125,23752969121,-9.565540353,-5.058280173,-5.561439838,-2.086912373,1,0,1,0,0,0,0,0,2,0,0,0,2,0
PROL2FORM,4,3,0,0,104.105,64516.12903,-3.221658861,-0.749232768,-3.564773596,-0.908244074,1,0,0,0,0,0,0,1,0,0,0,0,0,0
MIBKAOHBO2,6,4,0,0,147.15,2544529262,-4.530323575,-1.789484844,-5.198919417,-1.812792988,1,0,0,1,0,0,0,0,1,0,0,0,0,0
ETBECCO3H,6,4,0,0,148.158,3717.472119,-3.839697556,-1.136717651,-5.201884257,-1.815757828,0,0,0,0,0,0,1,0,1,0,0,0,0,0
C4CO2OOH,4,4,0,0,118.088,33444816.05,-4.552512136,-1.822024042,-4.830364918,-1.57846971,0,0,1,1,0,1,0,0,0,0,0,0,0,0
PBZMUCOOH,9,6,0,0,218.205,2.54E+13,-9.547638476,-5.218363263,-8.156723848,-3.400406421,1,0,1,1,0,1,0,0,0,1,0,0,0,0
PET1OOH,9,2,0,0,152.193,245.0980392,-5.087402269,-1.851911126,-4.435599283,-1.431984899,0,0,0,0,0,1,0,0,0,0,0,0,0,0
C95O,9,4,0,0,185.199,20661157.02,-4.788413307,-2.67019393,-6.067836249,-2.30358172,0,0,0,3,0,0,0,0,0,0,0,0,0,0
EPXM2C4DAL,6,3,0,0,128.127,110987.7913,-4.03322976,-1.444390676,-4.105999808,-1.227690246,0,0,2,0,0,0,0,0,0,1,0,0,0,0
